STATION,DATE,Max - EXITS                                                               ,
,10/01/2019,7509847,
,10/02/2019,7513268,
,10/03/2019,7516816,
,10/04/2019,7520509,20298
39 AV,09/28/2019,4488976,
,09/29/2019,4489002,
,09/30/2019,4489475,
,10/01/2019,4490079,
,10/02/2019,4490760,
,10/03/2019,4491479,
,10/04/2019,4492146,3170
4 AV-9 ST,09/28/2019,16214584,
,09/29/2019,16215996,
,09/30/2019,16217934,
,10/01/2019,16220082,
,10/02/2019,16222508,
,10/03/2019,16224904,
,10/04/2019,16227135,12551
40 ST LOWERY ST,09/28/2019,12599425,
,09/29/2019,12600141,
,09/30/2019,12601205,
,10/01/2019,12602326,
,10/02/2019,12603567,
,10/03/2019,12604883,
,10/04/2019,12606181,6756
42 ST-BRYANT PK,09/28/2019,1294482051,
,09/29/2019,1294482764,
,09/30/2019,1294484465,
,10/01/2019,1294486232,
,10/02/2019,1294488304,
,10/03/2019,1294490297,
,10/04/2019,1294492033,9982
42 ST-PORT AUTH,09/28/2019,1830285815,
,09/29/2019,1830286775,
,09/30/2019,1830287593,
,10/01/2019,1830288433,
,10/02/2019,1830289378,
,10/03/2019,1830290268,
,10/04/2019,1830291294,5479
45 ST,09/28/2019,7909207,
,09/29/2019,7911396,
,09/30/2019,7913367,
,10/01/2019,7915232,
,10/02/2019,7917439,
,10/03/2019,7919521,
,10/04/2019,7921636,12429
46 ST,09/28/2019,7256106,
,09/29/2019,7256931,
,09/30/2019,7258517,
,10/01/2019,7260162,
,10/02/2019,7262013,
,10/03/2019,7263878,
,10/04/2019,7265603,9497
46 ST BLISS ST,09/28/2019,9575121,
,09/29/2019,9575955,
,09/30/2019,9577160,
,10/01/2019,9578331,
,10/02/2019,9579623,
,10/03/2019,9580910,
,10/04/2019,9582234,7113
47-50 STS ROCK,09/28/2019,2038125975,
,09/29/2019,2038126704,
,09/30/2019,2038129035,
,10/01/2019,2038131518,
,10/02/2019,2038134579,
,10/03/2019,2038137757,
,10/04/2019,2038140485,14510
49 ST,09/28/2019,37872188,
,09/29/2019,37872199,
,09/30/2019,37876680,
,10/01/2019,37882822,
,10/02/2019,37889096,
,10/03/2019,37895275,
,10/04/2019,37901754,29566
4AV-9 ST,09/28/2019,4803029,
,09/29/2019,4803368,
,09/30/2019,4803747,
,10/01/2019,4804181,
,10/02/2019,4804723,
,10/03/2019,4805201,
,10/04/2019,4805723,2694
5 AV/53 ST,09/28/2019,30808420,
,09/29/2019,30808422,
,09/30/2019,30812691,
,10/01/2019,30817094,
,10/02/2019,30822656,
,10/03/2019,30828443,
,10/04/2019,30833593,25173
5 AV/59 ST,09/28/2019,16497386,
,09/29/2019,16497574,
,09/30/2019,16498080,
,10/01/2019,16498590,
,10/02/2019,16499100,
,10/03/2019,16499639,
,10/04/2019,16500104,2718
5 AVE,09/28/2019,3660324,
,09/29/2019,3662233,
,09/30/2019,3666892,
,10/01/2019,3671778,
,10/02/2019,3676929,
,10/03/2019,3683026,
,10/04/2019,3688159,27835
50 ST,09/28/2019,335289318,
,09/29/2019,335290428,
,09/30/2019,335291791,
,10/01/2019,335293272,
,10/02/2019,335295071,
,10/03/2019,335296966,
,10/04/2019,335298656,9338
51 ST,09/28/2019,569333199,
,09/29/2019,569333599,
,09/30/2019,569334437,
,10/01/2019,569335398,
,10/02/2019,569336386,
,10/03/2019,569337437,
,10/04/2019,569338444,5245
